time,DHG,target,VNINDEX_lag2,PHARMA_lag1
2023-10-19,107.76,1,1121.65,27.02508474576271
2023-10-20,108.6,0,1103.4,27.38338983050848
2023-10-23,103.07,1,1087.85,27.519322033898305
2023-10-24,103.45,0,1108.03,27.343898305084743
2023-10-25,101.76,0,1093.53,27.22
2023-10-26,96.42,0,1105.9,27.860000000000003
2023-10-27,95.01,1,1101.66,27.356379310344828
2023-10-30,95.11,0,1055.45,27.12793103448276
2023-10-31,93.7,1,1060.62,27.451034482758622
2023-11-01,96.04,1,1042.4,27.28051724137931
2023-11-02,96.51,1,1028.19,27.134827586206896
2023-11-06,98.2,0,1039.66,27.56379310344828
2023-11-07,98.2,1,1075.47,27.657413793103448
2023-11-08,99.32,0,1089.66,27.70827586206897
2023-11-10,97.73,0,1080.29,27.79706896551724
2023-11-13,97.73,1,1113.43,27.918275862068967
2023-11-14,98.29,1,1101.68,28.115172413793104
2023-11-15,98.86,0,1100.07,28.034310344827585
2023-11-16,98.86,0,1109.73,28.21310344827586
2023-11-17,97.54,0,1122.5,28.20241379310345
2023-11-20,97.08,1,1125.53,28.13362068965517
2023-11-21,98.57,0,1101.19,28.16275862068965
2023-11-22,97.92,0,1103.66,28.17465517241379
2023-11-23,96.51,0,1110.46,28.19155172413793
2023-11-24,96.23,1,1113.82,27.90103448275862
2023-11-27,96.98,0,1088.49,27.52293103448276
2023-11-28,95.58,1,1095.61,27.58137931034483
2023-11-29,97.26,0,1088.06,27.813103448275864
2023-11-30,97.17,0,1095.43,28.034310344827585
2023-12-01,96.89,1,1102.8,28.16155172413793
2023-12-04,97.36,0,1094.13,28.25603448275862
2023-12-05,97.36,0,1102.16,28.310344827586206
2023-12-06,97.08,0,1120.49,28.34879310344828
2023-12-07,95.67,0,1115.97,27.966724137931035
2023-12-08,95.67,0,1126.43,27.399310344827583
2023-12-12,94.92,0,1121.49,26.981034482758623
2023-12-13,94.08,0,1124.44,27.51206896551724
2023-12-14,93.89,1,1127.63,27.050689655172416
2023-12-15,93.98,0,1114.2,27.535
2023-12-18,93.7,0,1110.13,27.52862068965517
2023-12-19,93.61,0,1102.3,27.337241379310345
2023-12-20,93.51,0,1091.88,27.654827586206896
2023-12-21,92.67,1,1096.3,27.77896551724138
2023-12-22,93.23,1,1100.76,27.649827586206897
2023-12-25,93.61,1,1102.43,27.52086206896552
2023-12-26,94.45,1,1103.06,28.21275862068965
2023-12-27,94.64,1,1117.66,28.13672413793104
2023-12-28,94.83,1,1122.25,28.477241379310342
2023-12-29,97.45,1,1121.99,28.83103448275862
